Date,PETR4.SA,VALE3.SA,ITUB4.SA,BBDC4.SA,ABEV3.SA
2020-01-02,12.221022605895996,33.84402847290039,29.633333206176758,21.19136619567871,15.881497383117676
2020-01-03,12.121502876281738,33.59485626220703,29.321643829345703,21.20209503173828,15.658163070678711
2020-01-06,12.264809608459473,33.395511627197266,28.885295867919922,20.823379516601562,15.732608795166016
2020-01-07,12.217041969299316,33.63845443725586,28.21516990661621,20.461631774902344,15.765693664550781
2020-01-08,12.141407012939453,33.644683837890625,27.75543785095215,20.145097732543945,15.691248893737793
2020-01-09,12.101597785949707,33.2024040222168,27.202199935913086,19.822908401489258,15.567174911499023
2020-01-10,12.049849510192871,33.239776611328125,26.960643768310547,19.46116065979004,15.625076293945312
2020-01-13,12.07373332977295,34.448272705078125,27.31907844543457,19.670297622680664,15.889768600463867
2020-01-14,11.942367553710938,34.660072326660156,27.31907844543457,19.647680282592773,15.798781394958496
2020-01-15,11.763229370117188,34.54794692993164,26.984024047851562,19.30289649963379,15.517544746398926
2020-01-16,11.751288414001465,34.36729049682617,27.038570404052734,19.579866409301758,15.467918395996094
2020-01-17,11.882657051086426,35.507266998291016,27.225582122802734,20.03769874572754,15.467918395996094
2020-01-20,11.942367553710938,35.73151397705078,26.67234230041504,19.647680282592773,15.550631523132324
2020-01-21,11.791096687316895,34.90300750732422,26.103515625,18.992019653320312,15.501005172729492
2020-01-22,11.65972900390625,35.071205139160156,26.259361267089844,19.059839248657227,15.757421493530273
2020-01-23,11.803037643432617,34.57286071777344,26.882719039916992,19.562904357910156,15.426557540893555
2020-01-24,11.663711547851562,33.51387023925781,26.68012809753418,19.415952682495117,15.707793235778809
2020-01-27,11.158151626586914,31.464412689208984,26.103515625,18.969406127929688,15.343841552734375
2020-01-28,11.464673042297363,31.89425277709961,26.095722198486328,18.992019653320312,15.550631523132324
2020-01-29,11.484576225280762,31.61391830444336,25.690536499023438,18.720703125,15.137051582336426
2020-01-30,11.520402908325195,32.08112335205078,26.064552307128906,18.907224655151367,15.170140266418457
2020-01-31,11.325345993041992,31.31491470336914,25.573646545410156,18.5906982421875,14.7648286819458
2020-02-03,11.21786117553711,31.713592529296875,25.635984420776367,18.709396362304688,14.54976749420166
2020-02-04,11.39699935913086,32.56078338623047,25.838581085205078,18.720121383666992,14.599395751953125
2020-02-05,11.301459312438965,33.0092887878418,25.994421005249023,19.08208465576172,14.268533706665039
2020-02-06,11.61594295501709,33.18994140625,25.932090759277344,18.861515045166016,13.95421314239502
2020-02-07,11.516422271728516,32.45488357543945,26.267141342163086,19.076427459716797,13.99556827545166
2020-02-10,11.596037864685059,31.26508331298828,26.711294174194336,19.280025482177734,13.838409423828125
2020-02-11,11.735365867614746,32.42373275756836,27.32688331604004,19.449695587158203,13.896308898925781
2020-02-12,11.994114875793457,33.05913162231445,27.217784881591797,19.189546585083008,13.772235870361328
2020-02-13,11.830904006958008,32.479801177978516,26.79701805114746,18.821929931640625,13.457914352416992
2020-02-14,11.711482048034668,31.7696533203125,26.345073699951172,18.39775276184082,13.57371711730957
2020-02-17,11.687594413757324,33.27092361450195,26.103515625,18.24504852294922,13.730878829956055
2020-02-18,11.842846870422363,32.890933990478516,26.21259880065918,18.173675537109375,13.383469581604004
2020-02-19,12.161312103271484,32.89716720581055,26.586633682250977,18.43434715270996,13.342109680175781
2020-02-20,11.9105224609375,32.517173767089844,26.493120193481445,18.168004989624023,13.375198364257812
2020-02-21,11.600017547607422,31.22770118713379,25.831674575805664,18.026329040527344,13.441370010375977
2020-02-26,10.433648109436035,28.250078201293945,24.543264389038086,17.057294845581055,13.085692405700684
2020-02-27,10.071394920349121,27.701889038085938,24.559066772460938,16.983623504638672,11.9938383102417
2020-02-28,10.087318420410156,27.60222625732422,25.294179916381836,17.30097007751465,12.026926040649414
2020-03-02,10.561034202575684,28.87924575805664,25.19931983947754,17.533313751220703,12.175814628601074
2020-03-03,10.369954109191895,28.873010635375977,24.740859985351562,17.0791015625,12.192357063293457
2020-03-04,10.704339981079102,30.255924224853516,24.97799301147461,17.266218185424805,12.663839340209961
2020-03-05,10.067412376403809,29.184473037719727,24.124324798583984,16.69918441772461,12.597665786743164
2020-03-06,9.088140487670898,27.789106369018555,23.61053466796875,16.222875595092773,12.672110557556152
2020-03-09,6.389166355133057,23.56561279296875,21.974323272705078,15.054780960083008,12.134456634521484
2020-03-10,6.990265369415283,27.913692474365234,22.51972198486328,15.417686462402344,11.927665710449219
2020-03-11,6.3095502853393555,25.37834930419922,20.68589973449707,14.170215606689453,11.373467445373535
2020-03-12,5.015794277191162,22.02073097229004,18.65445327758789,12.270642280578613,9.578527450561523
2020-03-13,6.1304144859313965,26.72389030456543,20.717514038085938,14.340319633483887,10.504948616027832
2020-03-16,5.21085262298584,24.319360733032227,18.812536239624023,12.293319702148438,9.123587608337402
2020-03-17,5.175024509429932,25.858007431030273,19.919158935546875,13.279966354370117,9.669515609741211
2020-03-18,4.4943108558654785,24.076417922973633,18.5358943939209,11.73195743560791,9.25593376159668
2020-03-19,4.860543727874756,22.674814224243164,18.06161880493164,11.765981674194336,9.677787780761719
2020-03-20,4.776946067810059,21.921066284179688,17.42926788330078,10.909761428833008,9.967293739318848
2020-03-23,4.577907562255859,21.242061614990234,16.219886779785156,10.019514083862305,9.52062702178955
2020-03-24,5.274545669555664,23.44725227355957,17.78496551513672,11.527825355529785,9.338652610778809
2020-03-25,5.700488567352295,25.446870803833008,18.65445327758789,12.38972282409668,9.636428833007812
